FinalWgt,CR1,CR2,LKR3,LKR4,CR5,CR6,CR7,LKR8,CR9,CR10,CR11,CR12,OR9,BR1,BR2,CR13,CR14,SLR1,SLR2,CR15,CR16,CR17,CR18,OR12,OR13,CR19,CR20,CR21,CR22,CR23,CR24,CR25,LKR33,CR27,CR28,LKR36,CR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,OR45,OR46,OR53,OR54,OR58,Stratum,PSU
532.7099604,5,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,5,1,1,1,3,2,3,2,2,2,1,2,3,2,5,1,1,3,1,3,201501005,9
532.7099604,5,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,8,1,2,3,3,2,2,2,2,2,1,1,3,3,2,1,2,4,1,3,201501005,9
532.7099604,5,1,3,3,1,6,1,1,1,2,2,2,8,1,6,1,1,6,2,2,2,2,6,4,3,2,5,5,1,4,1,1,1,1,1,4,1,2,2,1,2,2,3,2,2,1,1,1,2,4,1,2,4,1,1,201501005,9
532.7099604,5,1,3,3,2,1,1,1,2,2,1,1,1,2,1,1,2,5,1,1,1,1,1,1,1,2,4,2,2,3,2,2,1,2,3,5,1,3,1,3,2,2,3,2,2,1,3,3,1,4,1,3,3,2,2,201501005,9
532.7099604,5,1,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,1,2,2,3,3,2,2,1,1,4,3,5,1,1,4,1,2,201501005,9
532.7099604,5,1,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,2,3,2,2,3,3,2,2,1,1,1,2,4,1,1,4,1,2,201501005,9
532.7099604,5,1,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,8,1,1,1,3,2,2,3,2,2,1,1,2,2,4,1,1,2,1,3,201501005,9
532.7099604,5,1,3,4,1,3,1,1,1,2,2,1,8,1,3,1,1,3,1,2,2,3,4,5,5,1,2,2,2,4,1,1,1,1,1,5,1,3,2,1,2,2,3,2,2,1,1,1,2,5,1,2,4,2,1,201501005,9
532.7099604,5,1,3,5,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,5,5,2,4,1,1,1,1,1,8,1,2,2,1,2,3,3,2,2,1,1,4,3,5,1,1,4,1,3,201501005,9
583.769617,3,2,2,1,1,1,1,1,1,2,1,1,1,2,3,2,2,1,1,2,3,3,3,3,3,4,1,5,2,,,1,1,1,1,8,1,1,2,1,2,2,3,2,2,1,1,3,3,4,3,1,4,1,1,201501005,9
602.4619034,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,1,1,3,2,2,1,1,3,2,2,5,1,4,4,3,201501005,9
602.4619034,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,3,2,3,2,2,1,1,4,3,5,1,1,4,1,1,201501005,9
602.4619034,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,2,1,3,2,2,1,1,3,1,4,1,1,4,1,3,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,2,1,2,2,3,2,2,1,1,3,2,5,1,1,4,1,2,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,3,1,2,2,1,2,2,3,2,2,1,1,1,3,5,1,1,,1,1,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,1,1,1,8,1,3,2,3,2,2,3,2,2,1,1,3,3,5,1,1,4,1,1,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,8,1,1,3,2,1,3,3,2,2,1,1,1,2,4,1,1,4,1,2,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,4,1,2,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,1,2,5,1,1,4,1,1,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,3,1,2,4,1,1,1,1,1,8,1,1,3,2,2,2,3,2,2,1,1,4,2,4,1,1,4,1,3,201501005,9
602.4619034,3,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,5,5,2,3,1,1,1,1,1,8,1,1,1,3,3,3,3,2,2,1,1,3,1,4,3,1,4,1,1,201501005,9
602.4619034,3,1,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,8,1,1,2,1,2,2,3,2,2,1,1,3,3,5,1,1,4,1,3,201501005,9
602.4619034,3,1,1,2,2,1,1,1,,,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,3,1,1,3,2,3,3,3,2,2,1,1,1,3,5,1,1,4,1,3,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,1,3,2,3,3,2,2,1,1,1,1,5,,2,4,4,2,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,3,2,3,3,2,2,3,1,1,3,5,1,1,4,1,3,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,,,2,3,2,3,1,2,1,1,1,3,,,1,1,1,2,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,3,1,1,3,2,2,1,1,4,2,5,1,1,4,1,3,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,2,1,3,1,2,3,3,2,2,1,1,3,1,5,1,1,4,1,2,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,2,1,3,2,1,2,3,3,2,2,1,1,2,3,5,1,1,4,1,1,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,8,1,2,3,2,2,3,3,2,2,1,1,3,2,4,1,1,4,3,2,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,4,1,2,1,1,1,1,1,2,3,1,2,3,3,2,2,1,1,1,2,5,1,1,4,1,1,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,4,1,1,1,1,1,8,1,2,1,1,2,3,1,2,2,1,1,2,2,5,1,1,4,1,1,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,3,2,3,3,2,2,3,1,1,3,5,1,1,4,1,3,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,8,1,3,3,3,1,3,3,2,2,1,1,4,3,5,1,1,4,1,3,201501005,9
602.4619034,3,1,1,2,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,1,1,1,1,1,3,2,2,1,1,3,1,4,1,1,4,1,3,201501005,9
602.4619034,3,1,1,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,4,1,3,1,1,2,3,3,2,2,1,1,2,3,5,1,1,4,1,3,201501005,9
570.6196345,4,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,5,5,3,4,1,1,201501005,10
570.6196345,4,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,1,2,1,1,1,3,2,2,1,1,4,1,5,1,1,4,1,1,201501005,10
570.6196345,4,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,4,2,1,4,1,1,1,1,1,6,1,1,3,3,2,2,2,2,2,1,1,1,1,5,1,1,4,1,2,201501005,10
570.6196345,4,1,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,3,3,1,4,1,1,1,1,1,8,1,1,3,2,2,2,3,2,2,1,1,1,1,5,1,1,4,2,2,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,8,2,3,3,1,1,1,3,2,2,1,1,1,1,3,1,3,4,4,2,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,1,1,3,2,2,1,1,1,3,4,1,1,4,1,3,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,1,1,3,2,2,1,1,1,3,4,1,1,4,1,3,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,1,2,3,2,2,1,1,1,3,4,1,1,4,1,3,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,1,1,2,2,3,2,2,1,1,4,1,3,1,2,1,4,2,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,4,1,1,1,1,1,8,1,1,1,1,3,3,3,2,2,1,1,3,2,4,1,2,4,1,1,201501005,10
570.6196345,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,4,1,1,1,1,1,1,2,1,2,2,1,1,1,8,2,3,3,2,3,3,3,2,2,1,1,1,3,4,1,1,1,1,2,201501005,10
570.6196345,5,1,3,2,1,6,2,2,2,2,2,2,6,2,1,1,2,6,1,2,2,3,4,4,5,2,1,1,2,3,1,1,1,1,1,6,1,2,2,1,2,2,3,2,2,2,2,2,1,4,1,2,2,1,2,201501005,10
570.6196345,5,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1,1,,,1,1,1,1,201501005,10
570.6196345,5,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,3,4,1,1,2,3,3,1,4,1,1,1,1,1,5,1,1,2,1,3,2,3,2,2,3,3,3,1,4,1,2,3,1,1,201501005,10
570.6196345,5,1,3,3,1,6,3,2,2,2,2,2,6,2,1,1,2,6,1,2,2,3,4,3,5,3,1,1,2,3,1,1,4,1,1,6,1,2,2,1,2,2,2,1,2,3,3,2,1,3,3,2,3,3,1,201501005,10
570.6196345,5,1,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,2,1,3,3,3,2,2,1,1,1,3,1,1,1,4,1,2,201501005,10
570.6196345,5,1,3,4,1,1,1,1,2,2,1,1,1,2,6,1,2,6,1,2,2,3,6,5,7,3,4,3,1,4,1,1,1,1,1,7,1,1,2,1,2,2,3,2,2,2,2,,1,3,3,3,4,1,1,201501005,10
570.6196345,5,1,3,4,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,,1,1,1,1,2,4,2,2,1,1,1,6,1,3,1,1,2,2,3,2,2,1,3,1,3,5,1,2,,1,1,201501005,10
598.3341065,4,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,1,1,3,2,3,2,2,1,1,3,2,5,3,1,4,4,2,201501005,10
598.3341065,4,2,3,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,2,2,4,1,1,1,1,1,8,1,1,1,1,2,2,3,2,2,1,1,3,2,5,3,2,4,1,3,201501005,10
598.3341065,4,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,1,3,5,1,1,3,1,1,201501005,10
598.3341065,4,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,8,1,1,3,1,3,3,3,2,2,1,1,2,3,5,1,1,4,1,3,201501005,10
598.3341065,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,1,3,5,1,1,4,1,1,201501005,10
598.3341065,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,1,3,5,5,1,4,1,1,201501005,10
598.3341065,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,8,1,1,3,1,3,3,3,2,2,1,1,3,3,5,1,1,4,1,3,201501005,10
598.3341065,5,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,1,3,5,3,1,4,1,1,201501005,10
598.3341065,5,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,1,1,3,3,3,2,2,1,1,2,3,5,1,1,4,1,3,201501005,10
598.3341065,5,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,3,3,1,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,3,1,5,3,1,4,1,1,201501005,10
598.3341065,5,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,3,3,1,4,1,1,1,1,1,8,1,2,1,1,2,3,3,2,2,1,1,3,1,5,1,1,4,1,1,201501005,10
598.3341065,5,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,3,4,4,1,4,1,1,1,1,1,8,1,1,1,1,2,3,3,2,2,1,1,3,1,5,3,1,4,1,1,201501005,10
598.3341065,5,2,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,1,3,3,3,2,2,1,1,1,1,5,1,1,4,1,3,201501005,10
598.3341065,5,2,3,3,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,3,3,1,3,3,3,2,2,1,1,1,1,5,1,1,4,1,3,201501005,10
784.7577467,3,1,2,2,2,1,1,1,,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,5,1,2,2,1,2,2,3,2,2,1,1,3,2,1,3,1,4,1,1,201501005,10
784.7577467,3,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,,,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,2,3,3,1,2,3,3,2,2,1,1,1,2,5,1,2,4,1,1,201501005,10
784.7577467,4,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,1,3,5,1,1,4,1,1,201501005,10
784.7577467,4,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,2,3,3,3,3,3,3,,,1,1,3,1,4,1,1,1,1,3,201501005,10
784.7577467,4,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,5,2,4,1,1,1,1,1,7,1,2,1,1,2,3,3,2,2,1,1,4,3,5,1,1,,4,1,201501005,10
784.7577467,4,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,5,1,4,1,1,1,1,1,4,1,1,1,1,2,3,3,2,2,1,2,2,3,3,3,2,4,1,1,201501005,10
784.7577467,4,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,,1,,,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,2,3,1,2,3,3,2,1,1,1,1,3,2,1,1,4,4,1,201501005,10
784.7577467,4,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,8,2,3,3,2,3,3,3,2,2,1,1,1,3,5,1,1,1,1,2,201501005,10
784.7577467,4,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,2,3,5,1,1,4,1,2,201501005,10
784.7577467,4,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,2,3,5,1,1,4,1,2,201501005,10
784.7577467,4,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,8,2,3,3,2,3,3,3,2,2,1,1,1,1,4,1,1,1,1,2,201501005,10
784.7577467,4,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,3,1,3,3,3,2,2,1,1,3,1,5,1,1,4,4,1,201501005,10
784.7577467,4,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,3,1,3,3,3,2,2,1,1,3,1,5,1,1,4,4,1,201501005,10
912.7374129,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,4,3,5,1,1,4,1,1,201501005,10
912.7374129,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,3,2,3,2,2,1,1,1,3,2,1,1,4,1,1,201501005,10
912.7374129,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,3,2,3,2,2,1,1,1,3,5,1,1,4,1,1,201501005,10
912.7374129,4,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,1,1,5,1,1,4,1,1,201501005,10
912.7374129,4,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,4,1,1,1,1,1,5,1,2,2,1,2,2,3,2,2,1,1,4,1,5,1,1,4,1,1,201501005,10
912.7374129,5,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,1,3,1,1,3,3,2,2,1,1,1,3,5,1,1,4,1,1,201501005,10
502.1452784,5,1,3,,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,8,2,3,3,1,2,2,3,2,2,1,1,1,3,5,1,1,4,2,1,201501006,11
502.1452784,5,1,3,1,2,1,1,1,2,2,1,1,1,2,,2,2,1,2,,1,1,1,1,1,1,1,1,2,4,1,,1,1,1,,2,,,3,3,1,3,2,1,2,1,1,1,,1,3,2,1,1,201501006,11
502.1452784,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,,1,1,8,2,2,,1,2,2,3,2,,1,1,2,3,2,1,2,1,1,1,201501006,11
502.1452784,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,1,1,2,2,3,2,2,1,1,1,3,4,1,1,4,4,1,201501006,11
502.1452784,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,1,4,2,1,8,1,2,,1,2,2,3,2,,1,1,,2,5,1,1,,,,201501006,11
502.1452784,5,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,4,4,1,4,1,2,1,1,1,8,1,2,2,2,2,3,3,2,2,1,1,2,,2,1,1,4,2,1,201501006,11
502.1452784,5,1,3,2,2,1,1,,2,2,3,,1,2,1,2,,1,,1,,1,1,1,1,1,1,4,1,4,1,1,1,1,1,8,1,2,2,1,3,,3,2,2,1,1,2,3,2,1,1,4,4,1,201501006,11
502.1452784,5,1,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,3,2,2,4,1,1,1,1,1,8,1,2,3,2,2,2,3,2,2,1,1,1,,,1,1,4,,,201501006,11
502.1452784,6,1,3,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,4,2,2,1,1,2,2,2,4,1,1,1,1,1,8,1,1,1,1,2,2,3,2,2,1,1,2,3,5,1,1,4,1,,201501006,11
502.1452784,6,1,3,1,1,3,2,4,2,2,3,2,1,2,1,2,2,1,2,1,2,1,3,1,,1,1,3,1,3,1,1,,2,1,5,1,1,,1,2,1,3,1,,4,2,2,1,1,5,1,3,3,1,201501006,11
502.1452784,6,1,3,1,1,6,2,2,2,2,3,2,6,2,5,2,2,5,2,3,3,2,3,2,6,1,2,1,2,2,1,1,4,2,1,6,1,3,2,1,2,3,3,2,2,3,3,2,2,5,3,1,3,2,1,201501006,11
502.1452784,6,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,8,1,3,1,1,2,3,3,2,2,1,1,2,2,5,1,1,4,1,3,201501006,11
502.1452784,6,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,1,1,1,2,2,3,2,2,1,1,2,3,5,1,1,4,1,1,201501006,11
502.1452784,6,1,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1,8,1,1,1,1,2,2,3,2,2,1,1,2,3,5,1,1,4,1,1,201501006,11
502.1452784,6,1,3,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,4,1,1,1,1,1,8,2,3,1,1,2,1,3,2,2,1,1,1,,5,1,2,4,1,3,201501006,11
526.5340138,4,2,3,1,2,1,1,1,2,2,1,1,1,2,,2,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,1,,5,1,1,1,1,1,201501006,11
526.5340138,4,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,3,3,5,1,3,,5,5,2,4,1,1,1,1,1,8,1,2,2,1,2,3,3,2,2,1,1,1,1,2,1,1,4,1,1,201501006,11
526.5340138,5,2,3,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,5,5,5,1,4,1,2,1,1,1,1,1,1,3,1,2,2,3,2,,1,1,1,1,5,3,2,4,1,1,201501006,11
526.5340138,5,2,3,1,2,1,1,1,2,2,1,1,1,2,,2,2,1,2,1,1,1,1,1,1,1,2,,2,,1,1,1,1,1,8,1,,3,,2,,3,2,2,1,1,2,,4,1,1,4,1,1,201501006,11
526.5340138,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,1,1,1,8,1,3,3,1,2,3,3,2,2,1,1,1,3,5,1,1,4,1,1,201501006,11
526.5340138,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,1,,5,3,1,1,1,1,201501006,11
526.5340138,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,3,,5,1,1,4,1,1,201501006,11
526.5340138,5,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,8,1,2,3,1,2,2,3,2,2,1,1,3,3,5,1,1,4,1,1,201501006,11
526.5340138,5,2,3,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,8,1,1,3,1,2,2,3,2,2,1,1,1,,5,1,1,1,1,1,201501006,11
526.5340138,6,2,3,1,2,1,1,1,2,2,1,1,1,2,,2,2,1,2,1,1,1,1,1,1,5,5,5,2,4,1,1,1,1,1,8,1,1,3,1,3,3,3,2,1,1,1,1,,,3,1,1,4,1,201501006,11
526.5340138,6,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,8,1,3,2,1,3,3,3,2,2,1,1,1,3,5,1,1,4,1,1,201501006,11
526.5340138,6,2,3,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,4,1,2,1,1,1,8,1,3,3,1,2,3,3,2,2,1,1,1,3,5,1,1,4,1,1,201501006,11
